场外代码,场内代码,名称,最新价,最新净值/万份收益,溢价率%,申购状态,赎回状态,下一开放日,买入确认日,卖出确认日,购买起点,日累计限定金额,手续费,成交量,成交额,流通市值,总市值
161116,161116,黄金主题LOF,1.437,1.314,9.360730593607306,暂停申购,暂停赎回,,T+2,T+2,10.0,100.0,0.1,3531369.0,512878677.726,254685643,254685643
161129,161129,原油LOF易方达,1.214,1.1121,9.162845067889567,限大额,开放赎回,,T+2,T+2,10.0,100.0,0.12,3765134.0,460174389.15,228703660,228703660
166027,166027,中欧创业定开,0.754,0.7959,-5.26448046236965,暂停申购,暂停赎回,2026-07-16,T+1,T+1,10.0,100000000000.0,0.15,577.0,43585.8,56474882,56474882
506002,506002,易方达科创板,0.875,0.9267,-5.578936009496058,暂停申购,暂停赎回,2026-09-28,T+1,T+1,10.0,100000000000.0,0.15,1636.0,143141.0,190518038,190518038
501065,501065,经典成长,0.983,1.0418,-5.644077558072573,暂停申购,暂停赎回,2028-01-03,T+1,T+1,10.0,100000000000.0,0.15,31.0,2998.0,12614446,12614446
506003,506003,富国科创板,0.692,0.7355,-5.914343983684581,暂停申购,暂停赎回,2026-08-24,T+1,T+1,10.0,100000000000.0,0.15,9053.0,622832.0,152737410,152737410
506001,506001,万家科创板,0.934,0.9955,-6.177800100452034,暂停申购,暂停赎回,2026-08-31,T+1,T+1,10.0,100000000000.0,0.15,1428.0,133079.0,102437664,102437664
506005,506005,科创板博时,0.807,0.8604,-6.206415620641562,暂停申购,暂停赎回,2026-08-10,T+1,T+1,10.0,100000000000.0,0.15,18169.0,1459158.0,603162452,603162452
506000,506000,科创板基金,0.732,0.7846,-6.704053020647462,暂停申购,暂停赎回,2026-08-25,T+1,T+1,10.0,100000000000.0,0.15,17298.0,1264159.0,567059318,567059318
506006,506006,汇添富科创板,0.808,0.8665,-6.751298326601268,暂停申购,暂停赎回,2026-08-24,T+1,T+1,10.0,100000000000.0,0.15,8596.0,693151.0,178301360,178301360
