场外代码,场内代码,名称,最新价,最新净值/万份收益,溢价率%,申购状态,赎回状态,下一开放日,买入确认日,卖出确认日,购买起点,日累计限定金额,手续费
161116,161116,黄金主题LOF,1.701,1.307,30.145371078806438,暂停申购,暂停赎回,,T+2,T+2,10.0,100.0,0.1
161129,161129,原油LOF易方达,1.23,1.1117,10.641360079158053,暂停申购,暂停赎回,,T+2,T+2,10.0,100.0,0.12
160325,160325,华夏创业板定开,0.777,0.8184,-5.058651026392961,暂停申购,暂停赎回,2026-08-20,T+1,T+1,10.0,100000000000.0,0.15
161040,161040,创业富国定开,1.048,1.1055,-5.201266395296236,暂停申购,暂停赎回,2026-08-10,T+1,T+1,10.0,100000000000.0,0.15
161132,161132,易方达科顺定开,1.582,1.6691,-5.218381163501285,暂停申购,暂停赎回,2027-12-21,T+1,T+1,10.0,100000000000.0,0.15
160926,160926,创业板定开,0.793,0.8376,-5.324737344794648,暂停申购,暂停赎回,2026-08-13,T+1,T+1,10.0,100000000000.0,0.15
161914,161914,创业板2年定开,0.635,0.6721,-5.520011902990629,暂停申购,暂停赎回,2026-10-08,T+1,T+1,10.0,100000000000.0,0.15
160726,160726,嘉实瑞享定开,0.9,0.9546,-5.719673161533625,暂停申购,暂停赎回,2026-09-14,T+1,T+1,10.0,100000000000.0,0.15
166024,166024,中欧恒利定开,0.919,0.9752,-5.762920426579155,暂停申购,暂停赎回,2026-12-01,T+1,T+1,10.0,100000000000.0,0.15
501070,501070,广发睿阳,0.955,1.0204,-6.409251274010194,暂停申购,暂停赎回,2028-03-06,T+1,T+1,10.0,100000000000.0,0.15
506002,506002,易方达科创板,0.878,0.9388,-6.476352790796758,暂停申购,暂停赎回,2026-09-28,T+1,T+1,10.0,100000000000.0,0.15
501065,501065,经典成长,0.979,1.0514,-6.88605668632299,暂停申购,暂停赎回,2028-01-03,T+1,T+1,10.0,100000000000.0,0.15
506005,506005,科创板博时,0.81,0.8705,-6.950028719126938,暂停申购,暂停赎回,2026-08-10,T+1,T+1,10.0,100000000000.0,0.15
506001,506001,万家科创板,0.935,1.0095,-7.379891035165924,暂停申购,暂停赎回,2026-08-31,T+1,T+1,10.0,100000000000.0,0.15
506006,506006,汇添富科创板,0.805,0.8697,-7.439346901230307,暂停申购,暂停赎回,2026-08-24,T+1,T+1,10.0,100000000000.0,0.15
506000,506000,科创板基金,0.73,0.7927,-7.909675791598332,暂停申购,暂停赎回,2026-08-25,T+1,T+1,10.0,100000000000.0,0.15
506003,506003,富国科创板,0.683,0.7456,-8.395922746781114,暂停申购,暂停赎回,2026-08-24,T+1,T+1,10.0,100000000000.0,0.15
