场外代码,场内代码,名称,最新价,最新净值/万份收益,溢价率%,申购状态,赎回状态,下一开放日,买入确认日,卖出确认日,购买起点,日累计限定金额,手续费
161116,161116,黄金主题LOF,1.474,1.27,16.06299212598425,暂停申购,开放赎回,,T+2,T+2,10.0,100.0,0.1
161123,161123,并购重组LOF,1.405,1.2128,15.847625329815296,开放申购,开放赎回,,T+1,T+1,10.0,99999999999.0,0.1
161129,161129,原油LOF易方达,1.209,1.1236,7.6005695977216226,暂停申购,开放赎回,,T+2,T+2,10.0,100.0,0.12
162720,162720,广发创业板定开,0.782,0.8235,-5.039465695203398,暂停申购,暂停赎回,2026-10-29,T+1,T+1,10.0,100000000000.0,0.15
160143,160143,创业板定开南方,0.871,0.9177,-5.088808978969158,暂停申购,暂停赎回,2026-09-01,T+1,T+1,10.0,100000000000.0,0.15
166027,166027,中欧创业定开,0.762,0.8029,-5.094034126292183,暂停申购,暂停赎回,2026-07-16,T+1,T+1,10.0,100000000000.0,0.15
160529,160529,创业板博时定开,0.887,0.9351,-5.143834883969632,暂停申购,暂停赎回,2026-09-28,T+1,T+1,10.0,100000000000.0,0.15
161914,161914,创业板2年定开,0.645,0.6806,-5.2306788128122195,暂停申购,暂停赎回,2026-10-08,T+1,T+1,10.0,100000000000.0,0.15
160926,160926,创业板定开,0.793,0.8372,-5.279503105590064,暂停申购,暂停赎回,2026-08-13,T+1,T+1,10.0,100000000000.0,0.15
166024,166024,中欧恒利定开,0.927,0.9795,-5.359877488514547,暂停申购,暂停赎回,2026-12-01,T+1,T+1,10.0,100000000000.0,0.15
161040,161040,创业富国定开,1.052,1.1129,-5.472189774463111,暂停申购,暂停赎回,2026-08-10,T+1,T+1,10.0,100000000000.0,0.15
160726,160726,嘉实瑞享定开,0.897,0.9544,-6.014249790444259,暂停申购,暂停赎回,2026-09-14,T+1,T+1,10.0,100000000000.0,0.15
506002,506002,易方达科创板,0.894,0.9614,-7.010609527772001,暂停申购,暂停赎回,2026-09-28,T+1,T+1,10.0,100000000000.0,0.15
501065,501065,经典成长,0.973,1.0468,-7.050057317539165,暂停申购,暂停赎回,2028-01-03,T+1,T+1,10.0,100000000000.0,0.15
506001,506001,万家科创板,0.948,1.0249,-7.5031710410771755,暂停申购,暂停赎回,2026-08-31,T+1,T+1,10.0,100000000000.0,0.15
506003,506003,富国科创板,0.691,0.7478,-7.595613800481421,暂停申购,暂停赎回,2026-08-24,T+1,T+1,10.0,100000000000.0,0.15
506006,506006,汇添富科创板,0.814,0.8814,-7.646925346040392,暂停申购,暂停赎回,2026-08-24,T+1,T+1,10.0,100000000000.0,0.15
506005,506005,科创板博时,0.824,0.8955,-7.984366275823564,暂停申购,暂停赎回,2026-08-10,T+1,T+1,10.0,100000000000.0,0.15
506000,506000,科创板基金,0.74,0.8088,-8.50642927794263,暂停申购,暂停赎回,2026-08-25,T+1,T+1,10.0,100000000000.0,0.15
